sample-id,absolute-filepath,direction
MV01,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121417-1-1-1_S133_L001_R1_001.fastq,forward
MV01,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121417-1-1-1_S133_L001_R2_001.fastq,reverse
MV02,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121418-1-1-1_S135_L001_R1_001.fastq,forward
MV02,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121418-1-1-1_S135_L001_R2_001.fastq,reverse
MV03,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121419-1-1-1_S137_L001_R1_001.fastq,forward
MV03,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121419-1-1-1_S137_L001_R2_001.fastq,reverse
MV04,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121420-1-1-1_S139_L001_R1_001.fastq,forward
MV04,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121420-1-1-1_S139_L001_R2_001.fastq,reverse
MV05,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121421-1-1-1_S141_L001_R1_001.fastq,forward
MV05,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121421-1-1-1_S141_L001_R2_001.fastq,reverse
MV06,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121422-1-1-1_S143_L001_R1_001.fastq,forward
MV06,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121422-1-1-1_S143_L001_R2_001.fastq,reverse
MV07,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121423-1-1-1_S130_L001_R1_001.fastq,forward
MV07,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121423-1-1-1_S130_L001_R2_001.fastq,reverse
MV08,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121424-1-1-1_S132_L001_R1_001.fastq,forward
MV08,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121424-1-1-1_S132_L001_R2_001.fastq,reverse
MV10,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121425-1-1-1_S134_L001_R1_001.fastq,forward
MV10,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121425-1-1-1_S134_L001_R2_001.fastq,reverse
MV11,/mnt/nupeb/rede-micro/datasets/raw-fastqs/raw-paired-end-fastq/210421121426-1-1-1_S136_L001_R1_001.fastq,forward
