sample_name	library_ID	filename	filename2
MV01	210421121417	210421121417-1-1-1_S133_L001_R1_001.fastq	210421121417-1-1-1_S133_L001_R2_001.fastq
MV02	210421121418	210421121418-1-1-1_S135_L001_R1_001.fastq	210421121418-1-1-1_S135_L001_R2_001.fastq
MV03	210421121419	210421121419-1-1-1_S137_L001_R1_001.fastq	210421121419-1-1-1_S137_L001_R2_001.fastq
MV04	210421121420	210421121420-1-1-1_S139_L001_R1_001.fastq	210421121420-1-1-1_S139_L001_R2_001.fastq
MV05	210421121421	210421121421-1-1-1_S141_L001_R1_001.fastq	210421121421-1-1-1_S141_L001_R2_001.fastq
MV06	210421121422	210421121422-1-1-1_S143_L001_R1_001.fastq	210421121422-1-1-1_S143_L001_R2_001.fastq
MV07	210421121423	210421121423-1-1-1_S130_L001_R1_001.fastq	210421121423-1-1-1_S130_L001_R2_001.fastq
MV08	210421121424	210421121424-1-1-1_S132_L001_R1_001.fastq	210421121424-1-1-1_S132_L001_R2_001.fastq
MV11	210421121426	210421121426-1-1-1_S136_L001_R1_001.fastq	210421121426-1-1-1_S136_L001_R2_001.fastq
MV13	210421121427	210421121427-1-1-1_S138_L001_R1_001.fastq	210421121427-1-1-1_S138_L001_R2_001.fastq
MV14	210421121428	210421121428-1-1-1_S140_L001_R1_001.fastq	210421121428-1-1-1_S140_L001_R2_001.fastq
MV15	210421121429	210421121429-1-1-1_S142_L001_R1_001.fastq	210421121429-1-1-1_S142_L001_R2_001.fastq
MV16	210421121430	210421121430-1-1-1_S144_L001_R1_001.fastq	210421121430-1-1-1_S144_L001_R2_001.fastq
MV18	210421121431	210421121431-1-1-1_S145_L001_R1_001.fastq	210421121431-1-1-1_S145_L001_R2_001.fastq
MV21	210421121432	210421121432-1-1-1_S147_L001_R1_001.fastq	210421121432-1-1-1_S147_L001_R2_001.fastq
MV24	210421121433	210421121433-1-1-1_S149_L001_R1_001.fastq	210421121433-1-1-1_S149_L001_R2_001.fastq
MV25	210421121434	210421121434-1-1-1_S151_L001_R1_001.fastq	210421121434-1-1-1_S151_L001_R2_001.fastq
MV26	210421121435	210421121435-1-1-1_S153_L001_R1_001.fastq	210421121435-1-1-1_S153_L001_R2_001.fastq
MV27	210421121436	210421121436-1-1-1_S155_L001_R1_001.fastq	210421121436-1-1-1_S155_L001_R2_001.fastq
